,indicativo,nombre_indicativo,start_date,end_date,latitud_dd,longitud_dd,cluster
157,1477U,VILAGARCIA DE AROUSA,2016-01-01,2022-12-31,42.58222222222223,-8.769722222222223,5
158,1477V,VILAGARCÍA DE AROUSA,2016-01-01,2025-06-11,42.58472222222223,-8.774722222222223,5
159,1484C,PONTEVEDRA,2016-01-01,2025-06-11,42.43833333333333,-8.615833333333333,5
160,1486E,ESCUELA NAVAL DE MARÍN,2022-01-24,2025-06-11,42.39611111111111,-8.706944444444444,5
161,1489A,A LAMA,2017-01-01,2025-06-11,42.40694444444444,-8.45111111111111,5
162,1495,VIGO AEROPUERTO,2016-07-02,2025-06-11,42.23861111111111,-8.623888888888889,5
163,1496X,VIGO ,2016-01-01,2025-06-11,42.230555555555554,-8.724166666666667,5
164,1505,LUGO AEROPUERTO,2016-01-01,2025-06-11,43.11111111111112,-7.4575,5
165,1518A,LUGO,2016-01-01,2025-06-11,42.998333333333335,-7.5525,5
166,1521I,O PÁRAMO,2016-01-01,2024-12-31,42.84527777777778,-7.499444444444444,5
167,1521X,BECERREÁ,2016-01-01,2024-12-31,42.86388888888889,-7.185277777777778,5
168,1541B,VILLABLINO,2016-01-01,2024-12-31,42.928888888888885,-6.333888888888889,2
169,1542,PUERTO DE LEITARIEGOS,2016-01-01,2024-12-31,42.994166666666665,-6.414166666666668,1
170,1549,PONFERRADA,2016-01-01,2024-12-31,42.56388888888888,-6.6,0
171,1561I,VEGA DE ESPINAREDA  ,2016-01-01,2024-12-31,42.76611111111111,-6.673611111111112,2
172,1583X,O BARCO DE VALDEORRAS,2016-01-01,2024-12-31,42.41555555555556,-6.993055555555555,2
173,1631E,A POBRA DE TRIVES,2016-01-01,2024-12-31,42.339444444444446,-7.2825,2
174,1639X,CHANDREXA DE QUEIXA,2016-01-01,2024-12-31,42.26027777777778,-7.383611111111112,5
175,1658,FOLGOSO DO COUREL,2016-01-01,2024-12-31,42.58861111111111,-7.191666666666667,5
176,1679A,MONFORTE DE LEMOS,2016-01-01,2024-12-25,42.531666666666666,-7.510833333333333,4
177,1690A,OURENSE,2016-01-01,2024-12-31,42.32527777777778,-7.859722222222222,2
178,1696O,BEARIZ,2016-01-01,2024-12-31,42.46805555555556,-8.278055555555556,5
179,1700X,O CARBALLIÑO,2016-01-01,2024-12-31,42.421388888888885,-8.092500000000001,5
