indicativo,altitud,tmed_mean,tmed_winter,tmed_spring,tmed_summer,tmed_fall,prec_mean,hrMedia_mean,velmedia_mean,longitud_dd,latitud_dd,tmed_range,prec_mean_log,velmedia_mean_log,cluster
6083X,2,19.24425205949767,14.89359400998336,17.76744646261048,24.185315167841512,20.490089855982365,1.1101622196579695,72.8457036985109,4.081872629940172,-4.740277777777778,36.48333333333333,9.291721157858152,0.7467648258872431,1.6256798216047823,1
6084X,8,19.80651491106262,14.979743612485834,18.006081038459822,25.07824286611106,20.578152557727183,1.238546365914787,73.5798379348337,2.0992151318737764,-4.618333333333334,36.53861111111111,10.098499253625228,0.8058267114237465,1.1311488961682827,1
6088X,85,19.57373349660333,14.506972933161748,17.804710144927537,25.622560975609755,20.869541009509984,1.2442786069651741,60.104347062076975,1.6710447761194032,-4.515,36.62055555555556,11.115588042448007,0.8083841363552745,0.9824696977909082,1
6100B,515,18.78977493757821,10.70420616113744,16.566543909577124,27.010953966897315,19.109622738687722,0.8587493431424067,52.08992616332755,2.829144988882428,-4.5625,37.02388888888889,16.306747805759876,0.6199038654054305,1.3426415377700134,4
6106X,408,18.16387927627077,9.822041145943372,16.06689359973538,26.827078384798103,18.645870156768527,0.9873065015479876,58.738386275101696,1.9626732514190615,-4.748333333333333,37.02944444444445,17.005037238854733,0.6867802050950759,1.0860919862429401,4
6127X,172,19.153604234153512,13.348742727985293,17.884453781512605,26.891942356299577,20.268779342723004,1.0303916161059017,57.99860686112329,3.048255600239499,-4.696666666666667,36.85472222222222,13.543199628314284,0.7082286887860005,1.398286072343425,1
6143X,230,19.933006386861315,13.688745387453874,18.08894927536232,27.081159420289858,20.769139194139196,1.2893248175182481,54.210697465702175,2.740099936286537,-4.760833333333333,36.657777777777774,13.392414032835983,0.828256934580752,1.319112332001672,1
6155A,7,19.24641119221411,13.703087885985749,17.670217391304348,25.852882205513787,20.407967032967033,1.1806569343065694,62.34518241199347,3.9941909975669097,-4.482222222222222,36.66611111111111,12.149794319528038,0.7796261774175955,1.6082754365341159,1
6156X,54,20.001536939388107,14.23882743362832,18.07284345274364,26.477608695652176,21.1289010989011,1.2113300492610837,61.28631893743026,2.660290093048714,-4.4816666666666665,36.717777777777776,12.238781262023856,0.7935941667460991,1.2975424046681592,1
6172O,25,16.508,16.508,,,,0.4917708373284371,61.0,3.0480573405953346,-4.419722222222222,36.71666666666667,14.440254296680273,0.3999638957008698,1.398237097051671,1
6172X,25,19.816118714927523,14.500886917960088,18.147462550994906,25.568478260869565,20.956043956043956,0.9593099671412925,62.910186199342824,2.6612814895947428,-4.419722222222222,36.71666666666667,11.067591342909477,0.6725923536746333,1.2978132198998065,1
6175X,7,21.080645161290324,15.541326530612247,19.008152173913043,26.867523364485983,22.085714285714285,0.9460742544126597,62.76019476567255,2.929950180266707,-4.286111111111111,36.715,11.326196833873736,0.6658141404935235,1.3686267490238995,1
6199X,41,21.487773722627736,14.401652892561982,19.59673913043478,27.627450980392158,21.993406593406593,0.6485401459854016,60.824817518248175,2.610666046662109,-4.093611111111111,36.76861111111111,13.225798087830176,0.4998901362724883,1.2838922557870909,1
6201X,35,18.57559796405625,13.425765144579364,17.091911764705884,24.514225053078558,20.022067671897855,0.9716063005891935,66.46176330423405,2.346782176165303,-4.043888888888889,36.755833333333335,11.088459908499194,0.6788485915171351,1.2079993397902808,1
6205X,3,19.770067558736034,14.691394237693792,18.02092405453505,24.98023350240933,20.850065413724572,0.7182776532878601,70.59969029096278,3.055542337580395,-3.957222222222222,36.72638888888889,10.288839264715538,0.5413224247575891,1.400084424020163,1
6213X,169,19.467363889963423,14.357538802660754,17.59021739130435,25.187187963202632,20.647362637362637,1.1391018619934283,64.59967141292442,1.6857064622124862,-3.845277777777778,36.76277777777778,10.829649160541878,0.7603860502817105,0.9879438077703583,1
6248D,1732,12.021444695259593,7.36844262295082,10.20217391304348,19.7375,12.205109489051095,0.6693804196625274,48.763718284837594,3.201805869074492,-3.430277777777777,36.95222222222223,12.369057377049181,0.5124525513987367,1.4355144017064745,5
6258X,708,15.886645897730785,10.013692342559516,13.928571428571429,22.69580745341615,16.809105180533752,1.1043801329683223,61.09674152046115,2.233664478669575,-3.4925,36.92305555555555,12.682115110856635,0.744020950119213,1.1736160076804323,1
6267X,20,18.434630739077253,13.341786037584301,16.713478260869564,23.89368880293177,19.703721708254793,0.8553121577217963,68.6011567802243,2.4157561001423855,-3.578611111111111,36.748333333333335,10.551902765347469,0.6180529609973677,1.2283988741215333,1
