idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
1390X,-8.711001,2025-05-28T11:00:00+0000,0.0,98.0,,,,43.203583,,CARBALLO,71.0,18.2,19.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,
1393,-9.210829,2025-05-28T11:00:00+0000,0.0,50.0,11.1,9.6,30.0,43.160557,28.0,CABO VILAN,67.0,16.3,16.8,16.9,,,,,10.6,,,,,,,339.0,,,,,,,,,,,,
1399,-9.046929,2025-05-28T11:00:00+0000,0.0,287.0,,,,43.057446,,VIMIANZO-CASTRELO,69.0,19.3,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,
1400,-9.291434,2025-05-28T11:00:00+0000,0.0,230.0,10.7,7.9,351.0,42.924828,11.0,FISTERRA,81.0,16.5,16.6,17.3,998.0,1.0,20.0,1025.2,13.4,18.2,7.0,60.0,14.6,,,,,,0.0,,,,,,,,,
1406X,-8.99369,2025-05-28T11:00:00+0000,0.0,340.0,,,,42.93525,,MAZARICOS-A PICOTA,62.0,20.9,22.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,
1410X,-8.022249,2025-05-28T11:00:00+0000,0.0,500.0,,,,43.037876,,SOBRADO DOS MONXES,47.0,20.4,21.6,21.6,,,,,,,,,,,,,,,,,,,,,,,,
1428,-8.410515,2025-05-28T11:00:00+0000,0.0,370.0,5.1,2.7,50.0,42.888012,40.0,SANTIAGO DE COMPOSTELA/LAVACOLLA,58.0,19.0,20.2,20.4,983.0,0.4,26.9,1025.5,11.7,29.8,16.0,60.0,17.7,,,,,,,,,,,16.3,,,,
1435C,-8.876227,2025-05-28T11:00:00+0000,0.0,128.0,6.0,1.7,349.0,42.80014,27.0,NOIA,55.0,23.0,24.7,24.7,,,,,,,,,,,,,,,,,,,,,,,,
1437P,-8.923333,2025-05-28T11:00:00+0000,0.0,686.0,,8.1,84.0,42.720833,,EVC_NOIA,56.0,19.2,19.9,19.9,949.0,,,,10.9,,,,,,,265.0,,,,,,,,,,,,
1442U,-8.892333,2025-05-28T11:00:00+0000,0.0,10.0,,,,42.643887,,BOIRO,43.0,24.2,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
1446X,-7.768333,2025-05-28T11:00:00+0000,0.0,680.0,,,,42.809723,,MONTERROSO,45.0,21.4,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1466A,-8.257892,2025-05-28T11:00:00+0000,0.0,435.0,3.8,1.5,342.0,42.700886,322.0,SILLEDA,63.0,21.0,23.3,23.3,,,,,,,,,,,,,,,,,,,,,,,,
1468X,-8.501806,2025-05-28T11:00:00+0000,0.0,269.0,,,,42.69361,,A ESTRADA,55.0,21.0,22.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,
1473A,-8.627222,2025-05-28T11:00:00+0000,0.0,100.0,7.4,3.9,100.0,42.738335,110.0,PADRÓN,49.0,23.0,24.7,25.2,,,,,13.3,,,,,,,125.0,,,,,,,,,,,,
1475X,-8.555833,2025-05-28T11:00:00+0000,0.0,240.0,5.7,1.3,40.0,42.87611,13.0,SANTIAGO DE COMPOSTELA,51.0,19.1,22.0,22.0,,,,,11.4,,,,,,,54.0,,,,,,,,,,,,
1476R,-8.714807,2025-05-28T11:00:00+0000,0.0,210.0,,,,42.749836,,CASAS DO PORTO,58.0,19.0,21.6,21.6,,,,,,,,,,,,,,,,,,,,,,,,
1477V,-8.774642,2025-05-28T11:00:00+0000,0.0,32.0,7.7,3.8,26.0,42.584843,20.0,VILAGARCIA DE AROUSA,52.0,22.9,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
1484C,-8.615833,2025-05-28T11:00:00+0000,0.0,113.3,3.0,1.6,273.0,42.43833,273.0,PONTEVEDRA,53.0,22.6,25.8,25.8,1010.0,0.6,37.8,1023.7,15.5,20.0,30.0,59.6,19.8,,,,,,0.04,,,,,17.8,,,,
1486E,-8.706944,2025-05-28T11:00:00+0000,0.0,3.0,1.4,1.0,258.0,42.39611,259.0,ESCUELA NAVAL DE MARÍN,60.0,19.4,20.8,20.8,,,,,12.7,,,,,,,31.0,,,,,,,,,,,,
1489A,-8.451243,2025-05-28T11:00:00+0000,0.0,395.0,6.8,2.5,69.0,42.40705,87.0,A LAMA,39.0,25.2,26.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,
1495,-8.623765,2025-05-28T11:00:00+0000,0.0,254.6,3.6,1.6,50.0,42.238617,30.0,VIGO/PEINADOR,53.0,22.5,25.1,25.6,993.9,0.3,27.8,1023.4,14.8,,12.0,60.0,,,,,,,,,,,,,,,,
1496X,-8.724167,2025-05-28T11:00:00+0000,0.0,120.0,2.6,1.1,21.0,42.230556,22.0,VIGO-O CASTRO,49.0,22.0,24.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,
1505,-7.4575,2025-05-28T11:00:00+0000,0.0,442.18,4.4,2.0,57.0,43.11111,60.0,LUGO/ROZAS,52.0,18.8,22.2,22.2,974.2,0.9,,1024.9,11.9,20.0,36.0,60.0,17.9,,,,,,0.0,,,,,17.6,,,,
1518A,-7.5525,2025-05-28T11:00:00+0000,0.0,442.0,3.7,1.5,340.0,42.998333,5.0,LUGO-COL.FINGOI,62.0,17.3,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,
1521I,-7.499579,2025-05-28T11:00:00+0000,0.0,403.0,,,,42.845276,,O PARAMO,72.0,16.0,19.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,
1521X,-7.18517,2025-05-28T11:00:00+0000,0.0,1080.0,4.8,0.9,90.0,42.86377,72.0,BECERREA-PENAMAIOR,48.0,20.4,21.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,
1535I,-7.704444,2025-05-28T11:00:00+0000,0.0,560.0,,0.0,7.0,42.63472,,EVC_O SAVIÑAO,61.0,18.5,20.8,20.8,962.0,,,,13.0,,,,,,,0.0,,,,,,,,,,,,
1541B,-6.333886,2025-05-28T11:00:00+0000,0.0,958.0,1.7,1.1,182.0,42.928886,187.0,VILLABLINO,38.0,23.8,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
1542,-6.414164,2025-05-28T11:00:00+0000,0.0,1530.0,5.7,3.9,321.0,42.994164,321.0,PUERTO DE LEITARIEGOS,56.0,17.0,17.8,18.1,858.7,,,,8.9,20.0,,60.0,11.9,,0.0,,,,,,,,,,"{'value': 1619.1, 'present': True}",,,
1549,-6.6,2025-05-28T11:00:00+0000,0.0,532.01,3.1,1.3,9.0,42.56389,298.0,PONFERRADA,51.0,20.9,23.5,23.5,963.3,0.5,33.0,1023.6,12.7,20.0,67.0,60.0,22.3,,,,,,0.0,,,,,20.4,,,,
1561I,-6.673564,2025-05-28T11:00:00+0000,0.0,770.0,,,,42.76604,,VILLAR DE OTERO (LOS TROBOS),46.0,22.9,24.9,24.9,,,,,,,,,,,,,,,,,,,,,,,,
1583X,-6.99314,2025-05-28T11:00:00+0000,0.0,315.0,,,,42.41562,,O BARCO DE VALDEORRAS,41.0,25.3,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
1631E,-7.282498,2025-05-28T11:00:00+0000,0.0,840.0,3.6,1.0,41.0,42.339447,65.0,POBRA DE TRIVES SAN MAMEDE,48.0,20.8,22.7,22.7,930.0,,19.3,,11.1,,,60.0,15.2,0.0,0.0,,,,,,,,,,,886.9,,
1639X,-7.383609,2025-05-28T11:00:00+0000,0.0,990.0,4.9,2.5,36.0,42.260277,12.0,CHANDREXA DE QUEIXA,52.0,22.4,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
1658,-7.191741,2025-05-28T11:00:00+0000,0.0,612.0,,,,42.58853,,FOLGOSO DO COUREL,51.0,21.3,23.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,
1679A,-7.510804,2025-05-28T11:00:00+0000,0.0,291.0,2.2,0.7,272.0,42.53177,252.0,MONFORTE DE LEMOS,61.0,21.3,23.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,
1696O,-8.277961,2025-05-28T11:00:00+0000,0.0,610.0,,,,42.468056,,BEARIZ,53.0,21.1,24.6,24.6,,,,,,,,,,,,,,,,,,,,,,,,
1700X,-8.0925,2025-05-28T11:00:00+0000,0.0,400.0,1.9,0.4,250.0,42.42139,224.0,O CARBALLIÑO,55.0,22.3,25.0,25.0,,,,,15.3,,,,,,,19.0,,,,,,,,,,,,
1701X,-8.129121,2025-05-28T11:00:00+0000,0.0,112.0,2.2,1.1,289.0,42.29988,190.0,RIBADAVIA,58.0,22.8,25.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,
1706A,-7.796051,2025-05-28T11:00:00+0000,0.0,492.0,,,,42.182903,,ALLARIZ-RIMELO,56.0,23.5,25.1,25.3,,,,,,,,,,,,,,,,,,,,,,,,
1719,-8.281009,2025-05-28T11:00:00+0000,0.0,560.0,,,,42.217995,,A CAÑIZA,56.0,21.0,23.3,23.3,,,,,,,,,,,,,,,,,,,,,,,,
1723X,-8.4927,2025-05-28T11:00:00+0000,0.0,90.0,,,,42.182224,,PONTEAREAS-CANEDO,48.0,25.2,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
1730E,-8.847444,2025-05-28T11:00:00+0000,0.0,55.0,,,,41.94398,,O ROSAL,42.0,26.3,27.6,27.6,,,,,,,,,,,,,,,,,,,,,,,,
1735X,-7.733611,2025-05-28T11:00:00+0000,0.0,616.0,4.1,0.4,18.0,42.079166,346.0,XINZO DE LIMIA,51.0,22.3,25.2,25.2,,,,,14.3,,,,,,,7.0,,,,,,,,,,,,
1738U,-7.988838,2025-05-28T11:00:00+0000,0.0,730.0,,,,41.934116,,MUIÑOS-PRADO,48.0,24.9,26.7,26.7,,,,,,,,,,,,,,,,,,,,,,,,
1740,-4.12433,2025-05-28T11:00:00+0000,0.0,150.0,4.7,2.3,6.0,43.37724,5.0,ALTAMIRA,61.0,19.7,20.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,
2005Y,-2.782777,2025-05-28T11:00:00+0000,0.0,1197.0,,,,41.967773,,VINUESA,35.0,24.4,25.4,25.4,,,,,,,,,,,,,,,,,,,,,,,,
2017Y,-2.494163,2025-05-28T11:00:00+0000,0.0,1260.0,5.6,2.7,135.0,41.99583,137.0,BARRIOMARTIN-EL ROBLEDO,39.0,23.2,23.4,23.5,,,,,,,,,,,,,,,,,,,,,,,,
2030,-2.483063,2025-05-28T11:00:00+0000,0.0,1081.01,4.2,2.1,219.0,41.775017,258.0,SORIA,30.0,24.5,25.8,25.9,903.3,0.6,30.7,,6.8,20.0,23.0,60.0,17.6,,,,,,0.0,,,,,17.3,"{'value': 1614.3, 'present': True}",,,
2044B,-2.507534,2025-05-28T11:00:00+0000,0.0,1100.0,7.3,3.1,277.0,41.600582,280.0,LUBIA-CEDER,30.0,25.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
2048A,-2.420281,2025-05-28T11:00:00+0000,0.0,978.0,3.9,1.9,288.0,41.41944,255.0,MORON DE ALMAZAN ,38.0,25.3,25.9,26.4,,,,,,,,,,,,,,,,,,,,,,,,
2059B,-2.783338,2025-05-28T11:00:00+0000,0.0,1042.0,6.1,3.5,21.0,41.34972,30.0,LA RIBA DE ESCALOTE,42.0,24.0,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
2084Y,-3.047008,2025-05-28T11:00:00+0000,0.0,960.0,,,,41.721848,,UCERO,33.0,25.1,26.3,26.4,,,,,,,,,,,,,,,,,,,,,,,,
2092,-3.086949,2025-05-28T11:00:00+0000,0.0,932.0,6.8,3.9,298.0,41.589443,290.0,BURGO DE OSMA-POZUELOS,31.0,25.7,25.9,26.6,,,,,,,,,,,,,,,,,,,,,,,,
2096B,-3.251385,2025-05-28T11:00:00+0000,0.0,1150.0,6.6,3.1,317.0,41.373608,320.0,LICERAS-CAÑADA DEHESA,32.0,25.0,25.6,25.6,,,,,,,,,,,,,,,,,,,,,,,,
2106B,-3.381929,2025-05-28T11:00:00+0000,0.0,955.0,5.7,3.6,328.0,41.745846,307.0,CORUÑA DEL CONDE,33.0,24.9,25.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,
2117D,-3.742777,2025-05-28T11:00:00+0000,0.0,790.0,5.2,1.9,336.0,41.665836,318.0,ARANDA DE DUERO,30.0,25.3,26.8,27.6,935.0,,34.3,,7.7,,,0.0,16.1,0.0,0.0,,,,,,,,,,,884.7,,
2135A,-3.507234,2025-05-28T11:00:00+0000,0.0,993.0,6.6,1.6,315.0,41.372757,240.0,FRESNO DE CANTIESPINO,34.0,25.6,26.6,26.6,,,,,,,,,,,,,,,,,,,,,,,,
2140A,-3.785871,2025-05-28T11:00:00+0000,0.0,1135.0,7.7,2.5,296.0,41.464554,242.0,ALDEANUEVA DE SERREZUELA-EL CERRO,37.0,24.0,24.0,24.3,,,,,,,,,,,,,,,,,,,,,,,,
2150H,-3.475165,2025-05-28T11:00:00+0000,0.0,1798.0,10.6,2.7,310.0,41.19193,309.0,LA PINILLA  ESTACIÓN DE ESQUÍ,34.0,18.3,20.3,20.4,831.9,,27.5,,3.9,20.0,,,15.4,0.0,0.0,,,,,,,,,,"{'value': 1613.1, 'present': True}",,,
2166Y,-4.124787,2025-05-28T11:00:00+0000,0.0,756.0,,,,41.593098,,PEÑAFIEL(FABRICA DE QUESOS),32.0,25.4,26.8,26.8,,,,,,,,,,,,,,,,,,,,,,,,
2172Y,-4.405497,2025-05-28T11:00:00+0000,0.0,725.0,3.4,1.4,329.0,41.611877,302.0,SARDÓN DE DUERO,30.0,27.3,28.7,28.7,,,,,,,,,,,,,,,,,,,,,,,,
2182C,-3.790216,2025-05-28T11:00:00+0000,0.0,1107.0,9.0,5.1,294.0,41.13386,260.0,RADES,29.0,25.4,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
2192C,-4.26545,2025-05-28T11:00:00+0000,0.0,795.0,6.0,3.5,324.0,41.383553,302.0,CUELLAR,33.0,27.2,27.2,27.7,,,,,,,,,,,,,,,,,,,,,,,,
2235U,-4.520031,2025-05-28T11:00:00+0000,0.0,1140.0,7.9,2.2,104.0,42.87062,111.0,CERVERA DE PISUERGA,38.0,21.7,23.4,23.5,897.4,,31.1,,8.3,,,60.0,14.6,0.0,0.0,,,,,,,,,,"{'value': 1610.8, 'present': True}",,,
2243A,-4.277134,2025-05-28T11:00:00+0000,0.0,910.0,4.8,2.1,87.0,42.79806,105.0,AGUILAR DE CAMPOO,45.0,24.5,24.5,25.4,,,,,,,,,,,,,,,,,,,,,,,,
2276B,-4.575109,2025-05-28T11:00:00+0000,0.0,908.0,3.8,1.8,163.0,42.568817,190.0,VILLAELES DE VALDAVIA,52.0,22.2,23.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,
2285B,-4.001111,2025-05-28T11:00:00+0000,0.0,869.0,3.7,1.9,231.0,42.523888,255.0,VILLADIEGO (DEPÓSITO DE AGUA),40.0,24.3,25.2,25.5,,,,,,,,,,,,,,,,,,,,,,,,
2290Y,-4.198909,2025-05-28T11:00:00+0000,0.0,771.0,3.2,1.3,208.0,42.251225,230.0,PEDROSA DEL PRÍNCIPE,40.0,24.2,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
2296A,-1.976675,2025-05-28T11:00:00+0000,0.0,1039.0,7.2,4.3,7.0,41.775555,12.0,OLVEGA-CAMINO VEGAFRÍA,44.0,24.7,24.7,25.9,,,,,,,,,,,,,,,,,,,,,,,,
2298,-3.131688,2025-05-28T11:00:00+0000,0.0,1080.0,8.2,3.9,321.0,41.95967,307.0,PALACIOS DE LA SIERRA,31.0,24.2,24.7,25.2,904.3,,24.6,,6.4,20.0,,60.0,13.3,0.0,0.0,,,,,,,,,,"{'value': 1618.9, 'present': True}",,,
2302N,-3.109758,2025-05-28T11:00:00+0000,0.0,1197.0,9.5,5.6,238.0,42.146473,237.0,MONTERRUBIO DE LA DEMANDA,40.0,22.6,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
2331,-3.620278,2025-05-28T11:00:00+0000,0.0,891.0,3.9,1.8,248.0,42.356945,275.0,BURGOS/VILLAFRÍA,36.0,24.4,25.8,25.8,923.9,0.8,29.3,,9.6,,61.0,60.0,17.2,,,,,,0.01,,,,,15.8,,882.4,,
2362C,-4.713714,2025-05-28T11:00:00+0000,0.0,1575.0,6.2,1.4,181.0,42.893772,262.0,CAMPORREDONDO DE ALBA  CUEVA DORADA,41.0,19.9,22.6,22.8,,,,,,,,,,,,,,,,,,,,,,,,
2374X,-4.617359,2025-05-28T11:00:00+0000,0.0,830.0,4.1,1.4,159.0,42.350933,231.0,CARRIÓN DE LOS CONDES,38.0,24.0,26.5,26.5,931.7,,31.8,,11.0,20.0,,60.0,17.9,0.0,0.0,,,,,,,,,,,893.6,,
2422,-4.754167,2025-05-28T11:00:00+0000,0.0,734.29,2.9,1.3,25.0,41.64083,348.0,VALLADOLID,32.0,25.3,27.7,27.7,940.2,0.6,33.4,1021.5,9.6,20.0,53.0,60.0,26.1,,,,2.9,10.0,0.0,1.2,0.7,53.0,317.0,24.1,,,,
2430Y,-5.044091,2025-05-28T11:00:00+0000,0.0,1178.0,7.9,4.4,298.0,40.543312,270.0,MUÑOTELLO,27.0,25.3,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
2444,-4.679722,2025-05-28T11:00:00+0000,0.0,1129.76,6.8,2.2,331.0,40.65917,330.0,ÁVILA,29.0,26.5,27.5,27.5,898.4,1.2,32.5,,7.8,20.0,68.0,60.0,15.8,,,,,,0.0,,,,,15.6,"{'value': 1619.9, 'present': True}",,,
2453E,-4.742033,2025-05-28T11:00:00+0000,0.0,920.0,,3.2,,40.828964,,GOTARRENDURA (AUTOMATICA),28.0,27.6,28.3,28.3,,,,,,,,,,,,,,,,,,,,,,,,
2456B,-4.729864,2025-05-28T11:00:00+0000,0.0,820.0,3.6,1.4,276.0,41.071484,117.0,AREVALO,26.0,27.4,28.7,28.7,,,,,,,,,,,,,,,,,,,,,,,,
2462,-4.010556,2025-05-28T11:00:00+0000,0.0,1892.6,8.7,2.3,260.0,40.793056,261.0,NAVACERRADA PUERTO,38.0,19.9,21.2,21.2,823.0,1.6,22.9,,6.2,20.0,34.0,59.7,12.6,,,,8.6,267.0,0.0,2.7,1.2,43.0,283.0,12.4,"{'value': 1606.7, 'present': True}",,11.0,
2465,-4.126389,2025-05-28T11:00:00+0000,0.0,1008.25,5.3,2.9,240.0,40.94528,243.0,SEGOVIA,28.0,26.5,27.5,27.5,911.6,0.9,37.8,,7.4,19.2,17.0,59.9,16.5,,,,,,0.0,,,,,16.9,"{'value': 1624.0, 'present': True}",,,
2471Y,-4.212067,2025-05-28T11:00:00+0000,0.0,1237.0,,,,40.71867,,SAN RAFAEL,34.0,25.0,25.8,25.8,,,,,,,,,,,,,,,,,,,,,,,,
2482B,-4.375727,2025-05-28T11:00:00+0000,0.0,870.0,5.1,2.3,264.0,41.126385,217.0,MIGUELAÑEZ,27.0,27.4,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,
2491C,-5.689876,2025-05-28T11:00:00+0000,0.0,1960.0,10.0,5.2,268.0,40.355087,260.0,LA COVATILLA  ESTACIÓN DE ESQUÍ,42.0,17.3,18.9,18.9,815.2,,,,5.6,20.0,,60.0,18.2,0.0,0.0,,,,,,,,,,"{'value': 1599.7, 'present': True}",,,
2503B,-4.691824,2025-05-28T11:00:00+0000,0.0,786.0,4.2,2.3,191.0,41.279922,287.0,OLMEDO  DEPÓSITO AGUA,31.0,26.8,28.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,
2507Y,-4.963505,2025-05-28T11:00:00+0000,0.0,724.0,3.3,1.6,333.0,41.419464,292.0,RUEDA,34.0,27.3,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,
2512Y,-5.018689,2025-05-28T11:00:00+0000,0.0,925.0,8.8,5.5,275.0,40.88213,270.0,RIVILLA DE BARAJAS,26.0,26.2,27.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,
2517A,-4.939637,2025-05-28T11:00:00+0000,0.0,755.0,4.4,1.3,275.0,41.172752,117.0,FUENTE EL SOL,11.0,28.4,29.9,29.9,,,,,,,,,,,,,,,,,,,,,,,,
2536D,-5.271389,2025-05-28T11:00:00+0000,0.0,710.0,4.3,1.9,265.0,41.548332,260.0,MORALES DEL TORO-DEPOSITO,36.0,25.6,27.4,27.4,,,,,,,,,,,,,,,,,,,,,,,,
2555B,-5.481307,2025-05-28T11:00:00+0000,0.0,811.0,5.6,2.0,291.0,41.236706,245.0,FUENTESAUCO,29.0,26.5,28.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,
2565,-5.630556,2025-05-28T11:00:00+0000,0.0,701.5,4.0,1.3,359.0,41.55528,352.0,CORESES,41.0,24.0,26.8,26.8,,,,,,,,,,,,,,,,,,,,,,,,
2568D,-4.851026,2025-05-28T11:00:00+0000,0.0,985.0,4.0,2.0,270.0,42.523502,245.0,VILLAPUN,49.0,22.5,23.5,23.5,,,,,,,,,,,,,,,,,,,,,,,,
2593D,-5.040989,2025-05-28T11:00:00+0000,0.0,782.0,3.2,1.3,226.0,42.09421,265.0,VILLALÓN DE CAMPOS,39.0,25.5,27.6,27.6,,,,,,,,,,,,,,,,,,,,,,,,
2604B,-5.040313,2025-05-28T11:00:00+0000,0.0,731.0,3.1,1.5,303.0,41.875816,287.0,MEDINA DE RIOSECO,39.0,24.2,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
2611D,-5.59244,2025-05-28T11:00:00+0000,0.0,690.0,3.8,1.7,322.0,41.856388,322.0,VILLAFÁFILA,41.0,24.5,26.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,
2614,-5.735278,2025-05-28T11:00:00+0000,0.0,656.06,5.0,2.1,79.0,41.515556,70.0,ZAMORA,40.0,24.1,27.0,27.0,949.3,0.6,34.6,1022.1,12.2,19.7,25.0,60.0,27.9,,,,,,0.0,,,,,24.8,,,,
2624C,-5.007615,2025-05-28T11:00:00+0000,0.0,1090.0,1.9,0.8,53.0,42.958458,35.0,RIAÑO-ERMITA QUINTANILLA,57.0,20.5,22.1,22.1,,,,,,,,,,,,,,,,,,,,,,,,
2630X,-5.377067,2025-05-28T11:00:00+0000,0.0,1510.0,7.0,5.1,285.0,43.06224,284.0,PUERTO DE SAN ISIDRO,44.0,18.2,19.2,19.6,860.5,,13.7,,6.7,20.0,,60.0,8.4,0.0,0.0,,,,,,,,,,"{'value': 1615.4, 'present': True}",,,
2661,-5.651111,2025-05-28T11:00:00+0000,0.0,916.0,3.6,1.9,130.0,42.588333,150.0,LEÓN/VIRGEN DEL CAMINO,38.0,22.3,23.7,23.8,921.6,0.7,25.5,,8.5,,20.0,60.0,,,,,,,,,,,,,,884.3,,
2664B,-5.504765,2025-05-28T11:00:00+0000,0.0,788.0,4.4,1.0,1.0,42.295948,40.0,VALENCIA DE DON JUAN,37.0,23.8,25.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,
2701D,-5.870858,2025-05-28T11:00:00+0000,0.0,1120.0,3.2,2.1,239.0,42.885574,250.0,MIÑERA DE LUNA-EMBALSE,42.0,22.8,24.3,24.6,,,,,,,,,,,,,,,,,,,,,,,,
2728B,-6.070921,2025-05-28T11:00:00+0000,0.0,995.0,5.1,1.5,214.0,42.648216,177.0,VILLAMECA,43.0,23.0,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
2734D,-6.074338,2025-05-28T11:00:00+0000,0.0,919.0,3.8,2.3,163.0,42.476723,72.0,ASTORGA-DEPÓSITO AGUA,42.0,23.5,24.4,25.8,,,,,,,,,,,,,,,,,,,,,,,,
2737E,-6.196672,2025-05-28T11:00:00+0000,0.0,1020.0,4.0,2.2,64.0,42.3775,42.0,LAGUNAS DE SOMOZA,43.0,22.1,23.6,23.6,910.5,,,,10.3,,,,,,,57.0,,,,,,,,,"{'value': 1616.4, 'present': True}",,,
2742R,-5.779854,2025-05-28T11:00:00+0000,0.0,850.0,3.8,0.9,15.0,42.466446,85.0,BUSTILLO DEL PÁRAMO-LAS MATILLAS,38.0,23.6,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
2755X,-5.666803,2025-05-28T11:00:00+0000,0.0,715.0,3.2,1.2,110.0,42.010906,355.0,BENAVENTE,32.0,23.6,25.8,26.2,943.1,,33.3,1022.4,7.8,20.0,,60.0,24.5,0.0,0.0,,,,,,,,,,,,,
2766E,-6.639735,2025-05-28T11:00:00+0000,0.0,933.0,3.5,0.7,120.0,42.082615,140.0,EL PUENTE (CASA FORESTAL),46.0,23.4,24.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
2775X,-6.279668,2025-05-28T11:00:00+0000,0.0,850.0,3.5,0.9,90.0,41.9415,79.0,VILLARDECIERVOS,39.0,22.9,25.3,25.4,928.8,,28.4,,10.3,,,60.0,18.1,0.0,0.0,,,,,,,,,,,885.8,,
2777K,-6.007296,2025-05-28T11:00:00+0000,0.0,737.0,2.8,1.4,325.0,42.078136,125.0,SANTIBAÑEZ DE VIDRIALES,38.0,24.2,25.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,
2789H,-5.909007,2025-05-28T11:00:00+0000,0.0,711.0,4.4,1.4,139.0,41.785553,15.0,POZUELO DE TABARA,40.0,24.5,26.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,
2804F,-6.141833,2025-05-28T11:00:00+0000,0.0,790.0,4.5,1.6,75.0,41.533997,82.0,VILLADEPERA,43.0,24.2,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
2828Y,-5.519077,2025-05-28T11:00:00+0000,0.0,1012.0,8.2,5.0,243.0,40.355385,242.0,BARCO DE AVILA,22.0,26.5,26.9,26.9,,,,,,,,,,,,,,,,,,,,,,,,
2847X,-5.643454,2025-05-28T11:00:00+0000,0.0,865.0,6.6,4.0,249.0,40.6756,222.0,PEDROSILLO DE LOS AIRES-CASTILLEJO,29.0,27.2,28.1,28.2,,,,,,,,,,,,,,,,,,,,,,,,
2863C,-5.36619,2025-05-28T11:00:00+0000,0.0,897.0,6.5,2.3,237.0,40.732204,220.0,PEDRAZA DE ALBA-VALLELARGO,25.0,26.7,27.7,27.7,,,,,,,,,,,,,,,,,,,,,,,,
2867,-5.498292,2025-05-28T11:00:00+0000,0.0,790.0,5.1,2.9,300.0,40.95957,310.0,SALAMANCA/MATACAN,27.0,27.2,28.4,28.8,933.8,0.8,32.6,,7.6,,13.0,60.0,,,,,,,,,,,,,,877.9,,
2870,-5.662271,2025-05-28T11:00:00+0000,0.0,775.0,4.1,0.5,296.0,40.957592,112.0,SALAMANCA OBS.,29.0,26.9,28.5,28.9,935.8,,,,8.8,,,,,,,49.0,,,,,,,,,,877.8,,
2873X,-5.779717,2025-05-28T11:00:00+0000,0.0,817.0,5.2,1.9,230.0,40.903606,242.0,BARBADILLO,31.0,27.4,28.4,28.4,,,,,,,,,,,,,,,,,,,,,,,,
2882D,-5.897441,2025-05-28T11:00:00+0000,,1003.0,,2.1,99.0,41.238903,,EVC_PEÑAUSENDE,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,
2885K,-6.022286,2025-05-28T11:00:00+0000,0.0,804.0,5.4,3.0,38.0,41.304443,42.0,FRESNO DE SAYAGO,44.0,24.2,26.3,26.3,,,,,,,,,,,,,,,,,,,,,,,,
